cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
32.4,50,50,50,go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,FALSE,27:45.7,16.918,0.156,235
32.4,50,50,50,go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,FALSE,27:46.5,16.918,0.156,235
32.4,50,50,50,go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,FALSE,27:47.3,16.842,0.156,235
32.4,50,50,50,go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,FALSE,27:48.1,16.804,0.156,235
32.4,50,50,50,go_to_pick_down,green,TRUE,FALSE,go_to_pick_down,FALSE,27:49.5,17.032,0.156,235
32.4,50,50,50,go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,TRUE,27:50.3,16.557,0.154,235
32.4,50,50,50,go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,TRUE,27:51.1,16.557,0.154,236.8
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,27:52.6,22.823,0.204,236.8
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,27:53.4,22.177,0.204,235
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,27:54.2,22.519,0.203,235
32.4,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,TRUE,27:55.0,22.405,0.203,235
32.4,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,TRUE,27:56.6,22.196,0.197,235
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,FALSE,27:57.4,21.988,0.197,236.8
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,FALSE,27:58.8,16.88,0.162,236.8
32.4,50,50,50,detecting_color,green,FALSE,FALSE,detecting_color,FALSE,27:59.5,16.88,0.162,235
32.4,50,50,50,detecting_color,green,FALSE,FALSE,detecting_color,FALSE,28:00.4,16.728,0.162,235
32.4,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,FALSE,28:01.2,16.652,0.153,235
32.4,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,FALSE,28:02.6,16.481,0.153,235
32.4,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,28:03.4,16.481,0.152,235
32.4,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,28:04.2,17.222,0.152,235
32.4,50,50,50,go_to_red_up,red,TRUE,FALSE,go_to_red_up,TRUE,28:05.8,22.462,0.205,235
32.4,50,50,50,go_to_red_up,red,TRUE,FALSE,go_to_red_up,TRUE,28:06.7,22.121,0.205,235
32.4,50,50,50,go_to_red_up,red,TRUE,FALSE,go_to_red_up,TRUE,28:07.5,22.481,0.2,235
32.4,50,50,50,go_to_red_down,red,TRUE,FALSE,go_to_red_down,TRUE,28:08.4,22.557,0.2,235
32.4,50,50,50,go_to_red_down,red,TRUE,FALSE,go_to_red_down,TRUE,28:09.3,22.158,0.196,235
32.4,50,50,50,go_to_red_up,red,TRUE,FALSE,go_to_red_up,FALSE,28:10.5,21.855,0.196,235
32.4,50,50,50,go_to_red_up,red,TRUE,FALSE,go_to_red_up,FALSE,28:11.4,21.038,0.196,235
32.4,50,50,50,go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,28:12.3,17.203,0.155,235
32.4,50,50,50,go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,28:13.0,17.203,0.155,235
32.4,50,50,50,go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,28:14.6,16.88,0.159,235
32.4,50,50,50,go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,28:15.4,16.88,0.159,235
32.4,50,50,50,go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,28:16.2,16.804,0.157,235
32.4,50,50,50,go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,28:17.7,16.785,0.157,235
32.4,50,50,50,go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,28:18.6,16.842,0.155,235
32.4,50,50,50,go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,28:19.3,16.785,0.155,235
32.4,50,50,50,go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,28:20.2,16.785,0.155,235
32.4,50,50,50,go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,28:21.7,16.728,0.154,235
32.4,50,50,50,go_to_pick_down,red,TRUE,FALSE,go_to_pick_down,FALSE,28:22.3,16.728,0.154,235
