cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,55,55,55,go_to_green_up,green,TRUE,FALSE,FALSE,53:20.8,21.722,0.199,233.1
1.2,55,55,55,go_to_green_up,green,TRUE,FALSE,FALSE,53:22.2,18.912,0.199,233.1
1.2,55,55,55,go_to_pick_up_from_green,green,TRUE,FALSE,FALSE,53:22.9,16.994,0.159,233.1
1.2,55,55,55,go_to_pick_up_from_green,green,TRUE,FALSE,FALSE,53:23.6,16.994,0.159,233.1
1.2,55,55,55,go_to_pick_up_from_green,green,TRUE,FALSE,FALSE,53:25.1,16.443,0.156,233.1
1.2,55,55,55,go_to_pick_up_from_green,green,TRUE,FALSE,FALSE,53:25.9,16.5,0.156,233.1
1.2,55,55,55,moving_belt,green,FALSE,TRUE,FALSE,53:26.7,16.671,0.156,233.1
1.2,55,55,55,moving_belt,green,FALSE,TRUE,FALSE,53:28.3,16.5,0.158,233.1
1.2,55,55,55,moving_belt,green,FALSE,TRUE,FALSE,53:29.2,16.595,0.156,233.1
1.2,55,55,55,moving_belt,green,FALSE,TRUE,FALSE,53:29.9,16.595,0.156,233.1
1.2,55,55,55,moving_belt,green,FALSE,TRUE,FALSE,53:30.6,16.595,0.156,233.1
1.2,55,55,55,go_to_pick_down,green,TRUE,FALSE,FALSE,53:32.1,16.386,0.154,233.1
1.2,55,55,55,go_to_pick_up_from_pick_down,green,TRUE,FALSE,TRUE,53:32.9,16.31,0.154,233.1
1.2,55,55,55,go_to_pick_up_from_pick_down,green,TRUE,FALSE,TRUE,53:33.7,19.633,0.163,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,TRUE,53:35.2,22.253,0.163,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,TRUE,53:36.0,22.121,0.199,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,TRUE,53:36.7,22.215,0.199,233.1
1.2,55,55,55,go_to_color_detect_down,green,TRUE,FALSE,TRUE,53:37.5,22.14,0.199,233.1
1.2,55,55,55,go_to_color_detect_down,green,TRUE,FALSE,TRUE,53:38.3,21.494,0.2,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,FALSE,53:39.8,21.475,0.2,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,FALSE,53:40.5,17.943,0.194,233.1
1.2,55,55,55,detecting_color,green,FALSE,FALSE,FALSE,53:42.1,16.481,0.15,233.1
