meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/suction_enabled
43:49.2,21.95,0.203,236.8,TRUE
43:52.8,21.817,0.196,235,TRUE
43:52.8,21.817,0.196,235,TRUE
43:54.0,21.76,0.196,235,TRUE
43:55.0,21.912,0.196,235,TRUE
43:56.3,21.912,0.196,235,TRUE
43:57.0,21.893,0.196,235,TRUE
43:58.4,21.931,0.196,235,TRUE
43:59.2,21.912,0.196,235,TRUE
44:00.8,21.855,0.196,236.8,TRUE
44:00.8,21.855,0.196,236.8,TRUE
44:02.0,22.026,0.196,236.8,TRUE
44:02.9,21.855,0.196,236.8,TRUE
44:02.9,21.855,0.196,236.8,TRUE
44:04.9,21.874,0.196,236.8,TRUE
44:05.9,21.779,0.196,235,TRUE
44:07.6,21.893,0.196,235,TRUE
44:08.8,21.95,0.195,235,TRUE
44:09.8,21.95,0.195,235,TRUE
44:10.6,21.798,0.195,235,TRUE
44:10.6,21.798,0.195,235,TRUE
44:11.8,21.798,0.195,235,TRUE
44:13.1,21.874,0.195,235,TRUE
44:14.7,21.722,0.195,236.8,TRUE
44:15.5,21.893,0.195,236.8,TRUE
44:15.5,21.893,0.195,236.8,TRUE
44:17.0,21.418,0.195,236.8,TRUE
44:17.0,21.418,0.195,236.8,TRUE
44:17.0,21.418,0.195,236.8,TRUE
44:20.0,16.31,0.153,236.8,FALSE
44:20.8,16.253,0.154,236.8,FALSE
44:21.8,16.31,0.152,236.8,FALSE
44:23.5,16.386,0.152,236.8,FALSE
44:23.5,16.386,0.152,236.8,FALSE
44:25.7,16.367,0.153,236.8,FALSE
44:25.7,16.367,0.153,236.8,FALSE
44:27.0,16.234,0.153,236.8,FALSE
44:28.7,16.253,0.152,235,FALSE
44:29.5,16.253,0.152,236.8,FALSE
44:30.3,16.291,0.152,236.8,FALSE
44:31.0,16.481,0.152,236.8,FALSE
44:32.3,16.481,0.152,236.8,FALSE
44:33.3,16.253,0.153,236.8,FALSE
44:34.1,16.272,0.153,236.8,FALSE
44:35.7,16.31,0.152,236.8,FALSE
44:36.4,16.329,0.152,236.8,FALSE
44:37.2,16.329,0.153,236.8,FALSE
44:38.7,16.234,0.153,235,FALSE
