meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/velocity
25:44.8,16.595,0.157,235,20
25:45.5,16.519,0.154,235,20
25:46.2,16.538,0.154,235,20
25:47.6,16.405,0.159,235,20
25:48.3,16.405,0.159,235,20
25:49.7,16.462,0.157,235,20
25:50.4,16.348,0.157,235,20
25:51.7,16.329,0.158,235,20
25:52.5,16.424,0.158,235,20
25:53.2,16.424,0.158,235,20
25:54.6,16.576,0.16,235,20
25:55.6,16.595,0.16,235,20
25:56.3,16.709,0.159,235,20
25:57.7,16.291,0.159,235,20
25:58.4,16.291,0.159,235,20
25:59.7,16.462,0.157,235,20
26:00.4,16.462,0.157,235,20
26:01.8,16.405,0.157,235,20
26:02.5,16.633,0.157,235,20
26:03.2,16.633,0.159,235,20
26:04.6,16.614,0.159,235,20
26:05.3,16.348,0.158,235,20
26:06.7,16.443,0.158,235,20
26:07.4,16.405,0.158,235,20
26:08.7,16.196,0.156,235,20
26:09.4,16.196,0.156,235,20
26:10.8,16.386,0.153,235,20
26:11.5,16.386,0.153,235,20
26:12.2,16.348,0.157,235,20
26:13.6,16.348,0.157,235,20
26:14.3,16.348,0.159,235,20
26:15.7,16.785,0.159,235,20
26:16.4,16.405,0.159,235,20
26:17.7,16.538,0.157,235,20
26:18.4,16.405,0.157,235,20
26:19.8,16.31,0.157,235,20
26:20.5,16.31,0.157,235,20
26:21.2,16.386,0.156,235,20
26:22.6,16.367,0.156,235,20
26:23.3,16.481,0.157,235,20
26:24.6,16.462,0.157,235,20
26:25.3,16.462,0.159,235,20
26:26.7,16.652,0.159,235,20
26:27.4,16.462,0.159,235,20
26:28.8,16.31,0.152,235,20
26:29.5,16.386,0.152,235,20
26:30.9,16.329,0.157,235,20
26:31.6,16.329,0.157,235,20
26:32.3,16.405,0.159,235,20
26:33.9,16.576,0.159,235,20
26:34.7,16.652,0.159,235,20
26:35.5,16.424,0.159,235,20
26:36.2,16.424,0.159,235,20
26:37.6,16.329,0.158,235,20
26:38.3,16.253,0.158,235,20
26:39.7,16.329,0.157,235,20
26:40.3,16.329,0.157,235,20
26:41.7,16.443,0.158,235,20
26:42.4,16.31,0.158,235,20
26:43.8,16.31,0.157,235,20
26:44.5,16.462,0.157,235,20
26:45.9,16.671,0.155,235,20
26:46.6,16.671,0.155,235,20
26:47.3,16.348,0.155,235,20
26:48.7,16.5,0.155,235,20
26:49.4,16.405,0.155,235,20
26:50.8,16.348,0.157,235,20
26:51.4,16.348,0.157,235,20
26:52.9,16.367,0.156,235,20
26:53.6,16.462,0.156,235,20
26:54.3,16.633,0.158,235,20
26:55.6,16.614,0.158,235,20
26:56.3,16.614,0.16,235,20
26:57.7,16.709,0.16,235,20
26:58.4,16.329,0.157,235,20
26:59.8,16.367,0.157,235,20
27:00.5,16.5,0.157,235,20
27:01.2,16.5,0.156,235,20
27:02.6,16.31,0.156,235,20
27:03.6,16.576,0.158,235,20
27:04.3,16.671,0.158,235,20
27:05.7,16.386,0.157,235,20
27:06.4,16.405,0.157,235,20
27:07.8,16.196,0.156,235,20
27:08.5,16.196,0.156,235,20
27:09.9,16.253,0.157,235,20
27:10.6,16.348,0.157,235,20
27:11.3,16.348,0.157,235,20
27:12.7,16.329,0.157,235,20
27:13.4,16.329,0.157,235,20
27:14.7,16.538,0.156,235,20
27:15.4,16.538,0.156,235,20
27:16.8,16.633,0.159,235,20
27:17.5,16.633,0.159,235,20
27:18.2,16.481,0.159,235,20
27:19.6,16.405,0.157,235,20
27:20.3,16.386,0.157,235,20
27:21.7,16.386,0.155,235,20
27:22.4,16.386,0.155,235,20
27:23.8,16.291,0.157,235,20
27:24.5,16.291,0.157,235,20
27:25.9,16.5,0.158,235,20
27:26.6,16.576,0.158,235,20
27:27.2,16.576,0.158,235,20
27:28.6,16.443,0.159,235,20
27:29.3,16.386,0.159,235,20
27:30.7,16.31,0.156,235,20
27:31.4,16.424,0.156,235,20
27:32.8,16.367,0.157,235,20
27:33.5,16.367,0.157,235,20
27:34.9,16.69,0.159,235,20
27:35.6,16.69,0.159,235,20
27:36.2,16.31,0.157,235,20
27:37.7,16.405,0.157,235,20
27:38.4,16.405,0.157,235,20
27:39.7,16.386,0.156,235,20
27:40.4,16.348,0.156,235,20
27:41.8,16.329,0.157,235,20
27:42.5,16.31,0.157,235,20
27:53.6,16.348,0.156,235,30
27:54.3,16.405,0.156,235,30
27:55.7,16.367,0.156,235,30
27:56.4,16.5,0.159,235,30
27:57.8,16.424,0.159,235,30
27:58.5,16.424,0.158,235,30
27:59.9,16.557,0.158,235,30
28:00.6,16.253,0.152,235,30
28:01.3,16.31,0.152,235,30
28:02.7,16.367,0.152,235,30
28:03.4,16.367,0.155,235,30
28:04.7,16.5,0.155,236.8,30
28:05.4,16.709,0.159,236.8,30
28:06.8,16.709,0.159,235,30
28:07.5,16.348,0.155,235,30
28:08.9,16.367,0.155,235,30
28:09.6,16.367,0.156,235,30
28:10.3,16.329,0.156,235,30
28:11.6,16.804,0.155,235,30
28:12.3,16.804,0.155,235,30
28:13.2,16.804,0.155,235,30
28:14.8,16.614,0.157,235,30
28:15.6,16.614,0.157,235,30
28:16.3,16.367,0.157,235,30
28:17.7,16.272,0.157,235,30
28:18.4,16.272,0.157,235,30
28:19.8,16.329,0.157,235,30
28:20.5,16.329,0.157,235,30
28:21.5,16.462,0.157,235,30
28:22.9,16.69,0.158,235,30
28:23.6,16.329,0.158,235,30
28:24.3,16.329,0.158,235,30
28:25.7,16.481,0.158,235,30
28:26.4,16.443,0.158,235,30
28:27.8,16.31,0.156,235,30
28:28.5,16.424,0.156,235,30
28:29.9,16.196,0.157,235,30
28:30.6,16.196,0.157,235,30
