meross/sample_timestamp,meross/power,meross/current,meross/voltage
46:55.2,16.405,0.153,235
46:56.1,16.234,0.153,235
46:56.8,16.329,0.153,235
46:56.8,16.329,0.153,235
46:58.5,16.329,0.153,236.8
46:59.8,16.31,0.154,236.8
47:00.6,16.367,0.154,235
47:02.2,16.405,0.154,235
47:03.2,16.424,0.154,235
47:04.3,16.462,0.153,235
47:05.0,16.462,0.153,235
47:06.0,16.253,0.153,235
47:07.1,16.405,0.153,235
47:08.1,16.291,0.153,235
47:09.0,16.329,0.153,235
47:09.9,16.329,0.153,235
47:10.8,16.329,0.154,235
47:11.7,16.348,0.154,235
47:12.6,16.348,0.154,235
47:13.8,16.291,0.154,236.8
47:14.8,16.31,0.153,236.8
47:15.6,16.329,0.153,235
47:16.7,16.443,0.153,235
47:17.5,16.443,0.154,236.8
47:19.4,16.424,0.153,236.8
47:20.1,16.31,0.153,236.8
47:21.0,16.31,0.153,236.8
47:22.0,16.462,0.153,236.8
47:22.8,16.367,0.153,235
47:23.7,16.367,0.153,235
47:24.7,16.291,0.153,235
47:26.3,16.253,0.153,235
47:27.3,16.253,0.153,236.8
47:27.3,16.253,0.153,236.8
47:29.3,16.329,0.153,235
47:30.1,16.329,0.154,235
47:31.3,16.329,0.154,235
47:32.0,16.348,0.154,236.8
47:33.3,16.253,0.154,236.8
47:34.1,16.272,0.154,235
47:34.7,16.272,0.153,235
47:35.9,16.31,0.153,235
47:36.7,16.367,0.153,235
47:38.3,16.291,0.153,235
47:39.1,16.253,0.153,235
47:39.9,16.253,0.153,235
47:41.3,16.234,0.153,235
47:41.3,16.234,0.153,235
47:42.6,16.329,0.154,235
47:43.6,16.367,0.154,236.8
47:44.7,16.253,0.153,236.8
47:46.3,16.367,0.154,236.8
47:47.4,16.367,0.154,235
47:47.4,16.367,0.154,235
47:49.4,16.234,0.153,235
47:50.3,16.329,0.153,235
47:50.3,16.329,0.153,235
47:51.9,16.329,0.153,235
47:52.9,16.215,0.153,236.8
47:53.9,16.348,0.153,236.8
47:55.0,16.348,0.153,236.8
47:56.3,16.31,0.154,236.8
47:57.0,16.329,0.154,236.8
47:58.4,16.158,0.152,236.8
47:59.2,16.101,0.152,236.8
48:00.0,16.272,0.153,236.8
