meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/acceleration
01:45.7,16.462,0.154,235,20
01:45.7,16.462,0.154,235,20
01:45.7,16.462,0.154,235,20
01:45.7,16.462,0.154,235,20
01:45.7,16.462,0.154,235,20
01:45.7,16.462,0.154,235,20
01:45.7,16.462,0.154,235,20
01:58.2,16.424,0.154,235,20
01:59.0,16.329,0.154,235,20
01:59.7,16.329,0.154,235,20
02:00.7,16.405,0.154,235,20
02:02.4,16.842,0.155,235,20
02:03.0,16.842,0.155,235,20
02:03.7,16.538,0.154,235,20
02:05.2,16.405,0.154,235,20
02:06.0,16.253,0.153,235,20
02:06.8,16.253,0.153,235,20
02:08.4,16.348,0.153,235,20
02:09.2,16.348,0.153,235,20
02:10.0,16.614,0.153,235,20
02:10.7,16.614,0.156,235,20
02:12.2,16.614,0.156,235,20
02:12.9,16.614,0.155,235,20
02:14.3,16.443,0.155,235,20
02:15.1,16.576,0.154,235,20
02:15.8,16.177,0.154,235,20
02:17.3,16.367,0.154,235,20
02:18.1,16.367,0.154,235,20
02:18.9,16.386,0.154,235,20
02:20.4,16.481,0.155,235,20
02:21.1,16.291,0.155,235,20
02:21.9,16.291,0.155,235,20
02:23.4,16.5,0.155,235,20
02:24.1,16.5,0.154,235,20
02:24.9,16.215,0.154,235,20
02:26.4,16.747,0.157,235,20
02:27.1,16.633,0.157,235,20
02:27.9,16.633,0.157,235,20
02:28.9,16.481,0.154,235,20
02:30.4,16.443,0.154,235,20
02:31.2,16.462,0.154,235,20
02:32.2,16.405,0.154,235,20
02:32.2,16.405,0.154,235,20
02:34.3,16.405,0.154,235,20
02:35.0,16.348,0.155,235,20
02:36.4,16.348,0.155,235,20
02:37.2,16.538,0.155,235,20
02:37.9,16.538,0.155,235,20
02:38.6,16.804,0.155,235,20
02:40.2,16.766,0.157,235,20
02:41.0,16.405,0.157,235,20
02:41.8,16.443,0.154,235,20
02:43.3,16.367,0.154,235,20
02:44.1,16.367,0.155,235,20
02:44.8,16.5,0.155,235,20
02:46.4,16.557,0.155,235,20
02:47.2,16.614,0.155,235,20
02:47.9,16.69,0.155,235,20
02:49.3,16.405,0.156,235,20
02:50.1,16.405,0.156,235,20
02:50.9,16.595,0.155,235,20
02:51.7,16.538,0.155,235,20
02:53.2,16.424,0.154,235,20
02:53.9,16.424,0.154,235,20
02:55.3,16.348,0.154,235,20
02:56.0,16.348,0.154,235,20
02:57.4,16.367,0.154,235,20
02:58.2,16.405,0.154,235,20
02:59.0,16.443,0.154,235,20
02:59.9,16.443,0.155,235,20
03:01.4,16.519,0.155,235,20
03:02.1,16.519,0.155,235,20
03:02.8,16.652,0.155,235,20
03:04.2,16.348,0.154,235,20
03:04.9,16.348,0.154,235,20
03:06.4,16.424,0.155,235,20
03:07.2,16.424,0.155,235,20
03:07.9,16.481,0.155,235,20
03:08.7,16.348,0.154,235,20
03:10.3,16.443,0.154,235,20
03:11.2,16.443,0.155,235,20
03:12.0,16.424,0.155,235,20
03:12.8,16.386,0.154,235,20
03:13.9,16.386,0.154,235,20
03:14.9,16.538,0.154,235,20
03:16.4,16.557,0.158,235,20
03:17.5,16.557,0.154,235,20
03:18.2,16.291,0.154,235,20
03:18.9,16.348,0.154,235,20
03:20.3,16.424,0.154,235,20
03:21.0,16.424,0.154,235,20
03:22.4,16.519,0.154,235,20
03:23.1,16.519,0.154,235,20
03:23.8,16.728,0.157,235,20
03:25.2,16.576,0.157,235,20
03:25.9,16.576,0.157,235,20
03:27.3,16.576,0.154,235,20
03:28.1,16.576,0.154,235,20
03:28.8,16.329,0.155,235,20
03:30.4,16.424,0.155,235,20
03:31.2,16.196,0.154,235,20
03:32.0,16.196,0.154,235,20
03:32.8,16.329,0.155,235,20
03:44.0,16.196,0.154,235,30
03:45.5,16.348,0.154,235,30
03:46.3,16.31,0.154,235,30
03:47.0,16.31,0.154,235,30
03:48.4,16.576,0.157,235,30
03:49.1,16.481,0.157,235,30
03:49.8,16.462,0.157,235,30
03:51.2,16.671,0.156,235,30
03:52.0,16.671,0.156,235,30
03:53.4,16.367,0.155,235,30
03:54.2,16.481,0.155,235,30
03:54.9,16.367,0.155,235,30
03:56.4,16.348,0.155,235,30
03:57.2,16.348,0.155,235,30
03:58.0,16.614,0.155,235,30
03:59.5,16.747,0.156,235,30
04:00.3,16.329,0.156,235,30
04:01.0,16.348,0.156,235,30
04:01.7,16.348,0.154,235,30
04:03.0,16.557,0.154,235,30
04:03.7,16.348,0.154,235,30
04:05.3,16.576,0.155,235,30
04:06.0,16.709,0.157,235,30
04:06.8,16.709,0.157,235,30
04:08.4,16.348,0.155,235,30
04:09.3,16.348,0.155,235,30
04:10.1,16.424,0.155,235,30
04:11.4,16.443,0.154,235,30
04:12.2,16.5,0.154,235,30
04:12.9,16.5,0.155,235,30
04:14.3,16.367,0.155,235,30
04:15.5,16.31,0.155,235,30
04:16.2,16.424,0.155,235,30
04:17.1,16.424,0.155,235,30
04:17.9,16.424,0.156,235,30
04:19.4,16.519,0.154,235,30
04:20.2,16.519,0.154,235,30
04:20.9,16.557,0.154,235,30
04:21.7,16.557,0.156,235,30
04:23.5,16.424,0.156,235,30
04:23.5,16.424,0.156,235,30
04:25.5,16.443,0.154,235,30
04:26.3,16.405,0.154,235,30
04:27.0,16.329,0.154,235,30
04:27.8,16.329,0.154,235,30
04:29.3,16.614,0.157,235,30
04:30.0,16.614,0.157,235,30
04:30.8,16.348,0.153,235,30
04:32.2,16.519,0.153,235,30
04:33.0,16.424,0.155,235,30
04:34.4,16.595,0.155,235,30
04:35.1,16.595,0.158,235,30
04:35.8,16.937,0.158,235,30
04:36.9,16.937,0.158,235,30
