meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/belt_speed
20:02.6,16.082,0.159,235,0
20:04.0,15.987,0.159,236.8,0
20:04.7,15.987,0.159,236.8,0
20:06.1,15.911,0.159,236.8,0
20:06.7,15.911,0.159,236.8,0
20:08.1,16.082,0.159,236.8,0
20:08.8,16.082,0.154,236.8,0
20:10.2,16.082,0.154,236.8,0
20:10.9,16.082,0.154,236.8,0
20:12.3,16.063,0.154,236.8,0
20:13.0,15.987,0.154,236.8,0
20:13.6,16.101,0.154,236.8,0
20:15.0,16.139,0.154,236.8,0
20:15.7,16.139,0.154,236.8,0
20:17.1,15.987,0.154,236.8,0
20:17.8,15.911,0.154,236.8,0
20:19.2,16.025,0.154,236.8,0
20:19.9,16.063,0.154,236.8,0
20:21.3,15.93,0.155,236.8,0
20:22.0,15.93,0.155,236.8,0
20:22.6,16.025,0.156,236.8,0
20:24.0,16.006,0.156,235,0
20:24.7,16.006,0.155,235,0
20:26.1,15.987,0.155,235,0
20:26.8,16.063,0.155,235,0
20:28.2,16.101,0.155,236.8,0
20:28.9,16.12,0.155,236.8,0
20:30.3,15.93,0.154,236.8,0
20:31.0,15.93,0.154,236.8,0
20:31.7,16.063,0.155,236.8,0
20:33.1,16.044,0.155,236.8,0
20:33.7,16.044,0.16,236.8,0
20:35.1,15.93,0.16,236.8,0
20:35.8,15.93,0.16,236.8,0
20:37.2,15.873,0.16,235,0
20:37.9,16.082,0.16,235,0
20:39.2,16.063,0.155,235,0
20:39.9,16.063,0.155,235,0
20:40.6,16.139,0.16,235,0
20:42.0,16.082,0.16,235,0
20:42.7,16.082,0.16,235,0
20:44.1,16.025,0.16,235,0
20:44.8,16.025,0.156,235,0
20:46.2,16.101,0.156,235,0
20:46.9,15.949,0.155,235,0
20:48.3,16.044,0.155,235,0
20:49.0,16.044,0.155,235,0
20:49.6,16.12,0.155,235,0
20:51.0,16.006,0.155,235,0
20:51.7,16.082,0.16,235,0
20:53.1,16.082,0.16,235,0
20:53.8,16.082,0.16,235,0
20:55.2,15.968,0.16,235,0
20:55.9,16.063,0.16,235,0
20:57.3,16.006,0.16,235,0
20:58.0,16.044,0.154,235,0
20:58.6,16.044,0.154,235,0
21:00.0,16.044,0.154,235,0
21:00.7,16.025,0.154,235,0
21:02.1,16.063,0.154,235,0
21:02.8,16.063,0.155,235,0
21:04.2,15.911,0.155,235,0
21:04.9,16.063,0.155,235,0
21:05.6,16.044,0.155,235,0
21:07.0,16.082,0.155,235,0
21:07.7,16.082,0.155,235,0
21:09.1,15.949,0.154,235,0
21:09.8,15.892,0.154,235,0
21:11.2,15.873,0.154,235,0
21:11.9,16.006,0.154,235,0
21:13.3,16.082,0.154,235,0
21:14.0,16.082,0.154,235,0
21:14.7,16.158,0.154,235,0
21:16.1,16.101,0.155,235,0
21:16.9,16.101,0.155,235,0
21:18.3,16.082,0.156,235,0
21:19.0,16.082,0.156,235,0
21:19.6,16.063,0.156,235,0
21:21.0,16.044,0.155,235,0
21:21.8,16.044,0.155,235,0
21:23.1,16.063,0.156,235,0
21:23.8,16.139,0.156,235,0
21:25.2,15.968,0.155,235,0
21:25.9,16.044,0.155,235,0
21:27.3,15.854,0.156,235,0
21:28.0,15.854,0.156,235,0
