dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,cube_weight_g
detecting_color,red,FALSE,FALSE,detecting_color,FALSE,27:37.5,17.089,0.159,235,1.3
go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,FALSE,27:38.9,16.823,0.159,235,1.3
go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,FALSE,27:39.6,16.519,0.159,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,27:41.0,16.5,0.158,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,27:41.6,20.867,0.158,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,27:43.0,22.728,0.207,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,27:43.8,21.931,0.207,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,27:44.5,22.443,0.207,235,1.3
go_to_blue_down,blue,TRUE,FALSE,go_to_blue_down,TRUE,27:46.0,22.367,0.207,235,1.3
go_to_blue_down,blue,TRUE,FALSE,go_to_blue_down,TRUE,27:46.6,22.367,0.207,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,FALSE,27:48.0,20.791,0.2,235,1.3
go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,27:48.7,20.791,0.2,235,1.3
go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,27:50.1,17.279,0.159,235,1.3
go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,27:50.8,16.006,0.159,235,1.3
go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,27:52.2,15.835,0.151,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,27:52.9,15.873,0.151,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,27:53.6,15.873,0.151,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,27:54.8,16.918,0.16,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,27:56.2,17.184,0.162,235,1.3
go_to_pick_down,blue,TRUE,FALSE,go_to_pick_down,FALSE,27:56.9,17.184,0.162,235,1.3
go_to_pick_down,blue,TRUE,FALSE,go_to_pick_down,FALSE,27:57.6,17.032,0.162,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,TRUE,27:59.0,16.633,0.158,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,27:59.7,22.994,0.158,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,28:01.1,22.367,0.204,235,1.3
go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,TRUE,28:01.7,22.576,0.204,235,1.3
go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,TRUE,28:03.1,21.988,0.204,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,FALSE,28:03.8,21.988,0.204,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,FALSE,28:05.2,17.203,0.171,235,1.3
detecting_color,blue,FALSE,FALSE,detecting_color,FALSE,28:05.9,17.203,0.171,235,1.3
detecting_color,blue,FALSE,FALSE,detecting_color,FALSE,28:06.6,16.633,0.171,235,1.3
go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,FALSE,28:08.0,16.462,0.159,235,1.3
go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,FALSE,28:08.7,16.462,0.159,235,1.3
go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,28:10.0,17.753,0.157,235,1.3
go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,28:10.7,23.013,0.157,235,1.3
go_to_green_up,green,TRUE,FALSE,go_to_green_up,TRUE,28:12.2,22.14,0.207,235,1.3
go_to_green_up,green,TRUE,FALSE,go_to_green_up,TRUE,28:12.8,22.519,0.207,235,1.3
go_to_green_down,green,TRUE,FALSE,go_to_green_down,TRUE,28:13.5,22.253,0.204,235,1.3
go_to_green_up,green,TRUE,FALSE,go_to_green_up,FALSE,28:14.9,22.083,0.204,235,1.3
go_to_green_up,green,TRUE,FALSE,go_to_green_up,FALSE,28:15.6,21.76,0.193,235,1.3
go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,28:17.0,17.525,0.193,235,1.3
go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,28:17.7,17.525,0.156,235,1.3
go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,28:19.1,15.76,0.156,235,1.3
go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,28:19.8,15.76,0.152,235,1.3
go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,FALSE,28:21.1,15.968,0.152,235,1.3
go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,FALSE,28:21.8,16.766,0.161,235,1.3
go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,FALSE,28:22.5,16.766,0.161,235,1.3
go_to_pick_down,green,TRUE,FALSE,go_to_pick_down,FALSE,28:23.9,17.222,0.161,235,1.3
go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,TRUE,28:24.6,17.222,0.161,235,1.3
go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,TRUE,28:26.0,16.69,0.161,235,1.3
go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,28:26.7,23.45,0.212,235,1.3
go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,28:28.1,22.538,0.212,235,1.3
go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,TRUE,28:28.8,22.538,0.208,235,1.3
go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,TRUE,28:30.2,21.893,0.208,235,1.3
go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,FALSE,28:30.9,22.026,0.204,235,1.3
go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,FALSE,28:31.5,17.924,0.204,235,1.3
detecting_color,green,FALSE,FALSE,detecting_color,FALSE,28:32.9,17.127,0.163,235,1.3
go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,FALSE,28:33.6,17.127,0.163,235,1.3
go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,FALSE,28:35.0,16.633,0.158,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,28:35.7,16.576,0.158,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,28:37.1,23.165,0.209,235,1.3
go_to_red_up,red,TRUE,FALSE,go_to_red_up,TRUE,28:37.8,23.165,0.209,235,1.3
go_to_red_up,red,TRUE,FALSE,go_to_red_up,TRUE,28:38.5,22.177,0.209,235,1.3
go_to_red_down,red,TRUE,FALSE,go_to_red_down,TRUE,28:39.9,22.519,0.205,235,1.3
go_to_red_down,red,TRUE,FALSE,go_to_red_down,TRUE,28:40.6,22.519,0.205,235,1.3
go_to_red_up,red,TRUE,FALSE,go_to_red_up,FALSE,28:42.0,22.177,0.2,235,1.3
go_to_red_up,red,TRUE,FALSE,go_to_red_up,FALSE,28:42.7,17.81,0.2,235,1.3
go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,28:44.1,17.279,0.164,235,1.3
go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,28:44.8,17.279,0.164,235,1.3
go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,28:45.6,15.987,0.152,235,1.3
go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,28:47.0,15.968,0.152,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,28:47.7,15.854,0.152,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,28:49.1,17.184,0.152,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,28:49.8,17.184,0.162,235,1.3
go_to_pick_down,red,TRUE,FALSE,go_to_pick_down,FALSE,28:51.1,17.203,0.162,235,1.3
go_to_pick_down,red,TRUE,FALSE,go_to_pick_down,FALSE,28:51.8,17.203,0.162,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,TRUE,28:53.2,16.747,0.156,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,28:53.9,23.108,0.156,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,28:54.6,22.215,0.199,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,28:56.0,22.538,0.199,235,1.3
go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,TRUE,28:56.7,22.234,0.2,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,FALSE,28:58.1,21.855,0.2,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,FALSE,28:58.8,21.855,0.207,235,1.3
detecting_color,red,FALSE,FALSE,detecting_color,FALSE,29:00.1,17.127,0.207,235,1.3
detecting_color,red,FALSE,FALSE,detecting_color,FALSE,29:00.8,17.127,0.16,235,1.3
go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,FALSE,29:02.2,16.557,0.16,235,1.3
go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,FALSE,29:02.9,16.652,0.156,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,29:03.6,16.652,0.156,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,29:05.0,23.089,0.206,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,29:05.7,22.196,0.206,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,29:07.0,22.557,0.204,235,1.3
go_to_blue_down,blue,TRUE,FALSE,go_to_blue_down,TRUE,29:07.7,22.614,0.204,235,1.3
go_to_blue_down,blue,TRUE,FALSE,go_to_blue_down,TRUE,29:09.1,22.045,0.206,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,FALSE,29:09.8,22.045,0.206,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,FALSE,29:11.2,17.089,0.163,235,1.3
go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,29:11.9,17.089,0.163,235,1.3
go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,29:12.6,16.728,0.163,235,1.3
go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,29:14.0,15.93,0.152,235,1.3
go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,29:14.7,15.93,0.152,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,29:16.1,16.025,0.152,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,29:16.8,16.025,0.152,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,29:18.2,17.07,0.16,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,29:18.9,16.766,0.16,235,1.3
go_to_pick_down,blue,TRUE,FALSE,go_to_pick_down,FALSE,29:19.6,17.108,0.16,235,1.3
