cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 2 +,TRUE,35:07.0,22.272,0.203,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,FALSE,35:07.7,22.196,0.203,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,FALSE,35:08.4,22.196,0.203,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,FALSE,35:09.8,16.861,0.158,238.7
1.2,50,50,50,detecting_color,red,FALSE,FALSE,detecting_color,FALSE,35:10.6,17.07,0.158,238.7
1.2,50,50,50,detecting_color,red,FALSE,FALSE,detecting_color,FALSE,35:12.0,16.937,0.161,238.7
1.2,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,joint 3 +,FALSE,35:12.7,16.595,0.161,238.7
1.2,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,joint 3 +,FALSE,35:13.6,16.595,0.157,238.7
1.2,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,joint 3 +,FALSE,35:15.0,16.747,0.157,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,TRUE,35:15.7,16.747,0.158,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,TRUE,35:16.5,16.747,0.158,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,TRUE,35:18.0,22.899,0.206,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,TRUE,35:18.8,22.69,0.206,238.7
1.2,50,50,50,go_to_red_up,red,TRUE,FALSE,joint 1 +,TRUE,35:19.4,22.367,0.204,238.7
1.2,50,50,50,go_to_red_up,red,TRUE,FALSE,joint 1 +,TRUE,35:20.8,22.158,0.204,238.7
1.2,50,50,50,go_to_red_up,red,TRUE,FALSE,joint 1 +,TRUE,35:21.5,22.462,0.202,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,35:22.9,22.462,0.202,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,35:23.6,21.304,0.158,238.7
