meross/sample_timestamp,meross/power,meross/current,meross/voltage
15:09.3,2.981,0.045,236.8
15:10.2,2.981,0.048,236.8
15:11.1,2.981,0.048,236.8
15:12.0,2.981,0.048,236.8
15:12.8,2.981,0.049,236.8
15:14.4,2.981,0.047,236.8
15:15.2,2.981,0.047,236.8
15:16.0,2.905,0.047,236.8
15:16.8,2.905,0.046,236.8
15:17.7,2.905,0.046,236.8
15:19.3,2.905,0.042,236.8
15:20.1,2.905,0.042,236.8
15:20.9,2.905,0.047,236.8
15:22.0,2.905,0.047,236.8
15:22.7,3.019,0.047,236.8
15:24.4,3.019,0.047,236.8
15:25.2,3.019,0.05,236.8
15:26.0,3.019,0.05,236.8
15:26.8,3.019,0.048,236.8
15:28.4,3.019,0.048,236.8
15:29.1,3.038,0.05,236.8
15:29.9,3.038,0.05,236.8
15:30.7,3.038,0.05,236.8
15:32.4,3.038,0.045,236.8
15:33.2,3.038,0.045,236.8
15:34.0,3.038,0.045,236.8
15:34.8,3.038,0.045,236.8
15:35.6,3.038,0.051,236.8
15:36.5,3,0.051,236.8
15:38.3,3,0.045,236.8
15:39.1,3,0.045,236.8
15:39.9,3,0.047,236.8
15:40.7,3,0.047,236.8
15:42.3,3,0.043,236.8
15:43.1,2.867,0.043,236.8
15:43.9,2.867,0.043,236.8
15:44.8,2.867,0.046,236.8
15:45.7,2.867,0.046,236.8
15:47.1,2.867,0.05,236.8
15:47.9,2.867,0.05,236.8
15:48.7,2.867,0.048,236.8
15:50.3,3.038,0.047,236.8
15:51.1,3.038,0.047,235
15:51.9,3.038,0.047,235
15:52.7,3.038,0.047,235
15:54.4,3.038,0.047,236.8
15:55.3,3.038,0.046,236.8
15:56.1,3.038,0.046,236.8
15:56.8,3.019,0.047,236.8
15:57.7,3.019,0.047,236.8
15:59.2,3.019,0.048,236.8
16:00.0,3.019,0.048,236.8
16:00.8,3.019,0.048,236.8
16:01.6,3.019,0.048,236.8
16:03.3,2.943,0.048,236.8
16:04.1,2.943,0.047,236.8
16:04.8,2.943,0.047,236.8
16:05.7,2.943,0.047,236.8
16:07.3,2.943,0.047,236.8
16:08.1,2.943,0.048,236.8
16:09.0,2.943,0.048,236.8
16:09.7,2.943,0.052,236.8
16:10.6,2.905,0.052,236.8
16:11.7,2.905,0.052,236.8
16:13.3,2.905,0.048,236.8
16:14.1,2.905,0.048,236.8
16:15.0,2.905,0.044,236.8
16:15.9,2.905,0.044,236.8
16:16.7,2.905,0.042,236.8
16:18.4,2.943,0.042,236.8
16:19.3,2.943,0.051,236.8
16:20.2,2.943,0.051,236.8
16:21.0,2.943,0.044,236.8
16:21.8,2.943,0.044,236.8
16:22.7,2.943,0.044,236.8
16:24.3,3.019,0.043,236.8
16:25.3,3.019,0.051,236.8
16:26.1,3.019,0.051,236.8
16:26.8,3.019,0.051,236.8
16:27.7,3.019,0.043,236.8
16:28.7,3.019,0.043,236.8
16:30.4,3.019,0.052,236.8
16:31.1,3.038,0.052,236.8
16:32.0,3.038,0.051,236.8
16:32.8,3.038,0.051,236.8
16:34.4,3.038,0.044,236.8
16:35.2,3.038,0.044,236.8
16:36.1,3.038,0.045,236.8
16:36.9,3.038,0.045,236.8
16:37.7,2.981,0.045,236.8
16:39.3,2.981,0.05,236.8
16:40.1,2.981,0.052,236.8
16:41.0,2.981,0.052,236.8
16:41.8,2.981,0.052,236.8
16:43.4,2.981,0.046,236.8
16:44.1,3.019,0.05,236.8
16:45.0,3.019,0.05,236.8
16:45.8,3.019,0.05,236.8
16:47.3,3.019,0.049,236.8
16:48.1,3.019,0.049,236.8
16:48.8,3.019,0.044,236.8
16:49.8,3.019,0.044,236.8
16:51.4,2.905,0.046,236.8
16:51.4,2.905,0.046,236.8
16:52.6,2.905,0.046,236.8
16:53.9,2.905,0.048,236.8
16:54.7,2.905,0.048,236.8
16:56.3,2.905,0.045,236.8
16:57.1,2.905,0.05,236.8
16:57.8,2.981,0.05,236.8
16:58.9,2.981,0.05,236.8
16:59.7,2.981,0.048,236.8
17:00.7,2.981,0.048,236.8
17:02.4,2.981,0.048,236.8
17:03.2,2.981,0.047,236.8
